@RELATION svmModel
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {trainingData/older-angry,trainingData/older-happy,trainingData/young-sad}

@DATA
0.085180,0.027527,3.167571,0.182384,0.209942,0.472033,0.023706,0.126239,-26.699667,2.547684,-0.379607,-0.341776,-0.568505,-0.309054,-0.191913,0.046348,-0.052936,-0.123393,-0.236338,-0.128401,-0.097050,0.023181,0.012449,0.020484,0.013459,0.036607,0.008614,0.023090,0.001164,0.006672,0.017570,0.029263,0.009035,0.030151,0.105521,0.029499,0.185679,0.107678,0.033840,0.681888,0.017113,0.176396,3.282248,1.240643,1.166746,0.587449,0.521378,0.386068,0.512352,0.460217,0.488308,0.452479,0.379805,0.365525,0.322894,0.032704,0.028046,0.031543,0.019329,0.045021,0.014186,0.050273,0.002629,0.016256,0.027795,0.043132,0.020117,0.015827,trainingData/older-happy
0.268388,0.030862,3.174717,0.346968,0.245947,1.167779,0.017933,0.426175,-27.674337,1.889199,0.047364,-0.003611,-0.307829,-0.193477,-0.112117,0.051394,0.077071,0.027952,-0.103423,-0.121857,-0.116056,0.025496,0.013132,0.018225,0.008392,0.016378,0.004838,0.036342,0.001394,0.003499,0.013251,0.018812,0.006708,0.026217,0.100110,0.028478,0.173573,0.098778,0.030887,0.533506,0.015463,0.167776,2.467804,1.140108,0.667097,0.461640,0.406880,0.343777,0.261867,0.231676,0.281751,0.304614,0.242228,0.214592,0.203384,0.030804,0.027375,0.020549,0.015955,0.018604,0.010920,0.024095,0.002716,0.004695,0.022102,0.028787,0.014908,0.010938,trainingData/older-happy
0.077514,0.015984,3.174713,0.161589,0.195813,0.528309,0.021276,0.123989,-26.954817,2.567140,-0.406221,0.240532,-0.768867,0.071822,-0.153790,-0.121235,0.186538,-0.277996,-0.073093,0.005847,-0.043639,0.017045,0.006639,0.018154,0.015885,0.023258,0.011800,0.049343,0.001406,0.005330,0.034624,0.021335,0.007182,0.028644,0.077145,0.015768,0.090804,0.071633,0.021664,0.541662,0.011983,0.144340,2.427146,0.854372,0.754636,0.620904,0.573503,0.372617,0.373247,0.317981,0.269773,0.370609,0.310372,0.297514,0.264386,0.022222,0.011207,0.021882,0.025444,0.020128,0.020092,0.048034,0.002386,0.007977,0.038944,0.025008,0.008380,0.014614,trainingData/older-happy
0.112972,0.034600,3.109790,0.217402,0.219402,0.694852,0.027748,0.172675,-26.889783,2.060217,-0.189627,-0.236921,-0.454729,-0.175618,-0.194188,0.071679,-0.008306,-0.108894,-0.129838,-0.083624,-0.068211,0.009590,0.011173,0.020747,0.022767,0.033846,0.009186,0.035324,0.003071,0.005826,0.016361,0.012906,0.008605,0.028872,0.140943,0.042047,0.243787,0.144087,0.042905,0.925812,0.024905,0.244343,3.653132,1.444328,1.039359,0.626269,0.628485,0.448660,0.485567,0.446625,0.405203,0.451480,0.351346,0.285535,0.248856,0.020466,0.031724,0.026871,0.037346,0.038267,0.016375,0.058720,0.009724,0.009601,0.023843,0.013121,0.020352,0.017960,trainingData/older-happy
0.072486,0.019499,3.124461,0.154153,0.194673,0.331984,0.028242,0.112131,-27.871429,3.076541,0.328765,0.229581,-0.430817,-0.205905,-0.385267,-0.002002,-0.042152,-0.157755,0.099152,-0.134893,-0.166100,0.012089,0.007446,0.024278,0.010097,0.025687,0.008639,0.014129,0.002081,0.014905,0.062372,0.030924,0.007143,0.035424,0.075095,0.019749,0.245246,0.071969,0.027681,0.377380,0.021105,0.128920,2.826966,0.856538,0.821905,0.397678,0.560831,0.418737,0.371771,0.403762,0.379838,0.350503,0.393353,0.246310,0.318181,0.016629,0.016478,0.036594,0.011814,0.036514,0.014567,0.015685,0.006864,0.016448,0.030606,0.038803,0.017616,0.012454,trainingData/older-happy
0.145490,0.025504,3.186236,0.247845,0.226794,0.868947,0.018361,0.231849,-26.882495,2.079027,-0.139029,-0.121545,-0.318075,-0.232007,-0.281062,-0.127897,-0.091037,-0.116700,-0.032862,0.019086,-0.056249,0.010069,0.004548,0.016674,0.013726,0.028582,0.021937,0.028514,0.002764,0.014194,0.024608,0.010163,0.005985,0.026127,0.180305,0.034309,0.160221,0.168459,0.044340,1.040768,0.014951,0.313536,3.575733,1.481543,0.883178,0.536854,0.479006,0.433203,0.525451,0.402625,0.472880,0.464484,0.427062,0.347718,0.349889,0.017445,0.012873,0.028430,0.026790,0.036804,0.044902,0.031843,0.005917,0.018514,0.034745,0.015478,0.016099,0.013089,trainingData/older-happy
0.101956,0.024572,3.200696,0.196195,0.209969,0.582087,0.023827,0.144323,-26.647745,2.394602,-0.261299,-0.064190,-0.467036,-0.296147,-0.253136,-0.192871,-0.119577,-0.100131,-0.138261,0.006083,-0.015910,0.026074,0.008812,0.013501,0.017608,0.022757,0.021173,0.031756,0.005718,0.010327,0.017433,0.016763,0.006678,0.030864,0.115802,0.031815,0.173170,0.101943,0.033171,0.719873,0.020422,0.186333,3.169297,1.244241,0.986641,0.470798,0.536014,0.542715,0.483931,0.454739,0.443048,0.463412,0.409154,0.401251,0.356254,0.049737,0.023367,0.029630,0.040183,0.045323,0.041954,0.046317,0.015581,0.013985,0.027428,0.021802,0.012193,0.017357,trainingData/older-happy
0.071667,0.024572,2.832602,0.211792,0.246614,0.349843,0.023200,0.095929,-29.746152,2.454434,0.097884,0.050330,-0.292152,-0.063561,-0.094052,0.014610,-0.065042,-0.116279,-0.137274,-0.038525,0.000907,0.009114,0.007556,0.025101,0.021204,0.070694,0.015600,0.042745,0.000754,0.004519,0.009224,0.011602,0.003645,0.034067,0.072327,0.039572,0.111627,0.103075,0.035720,0.430838,0.014708,0.149789,2.412117,0.868783,0.547555,0.459118,0.343214,0.399942,0.312412,0.290748,0.272378,0.280660,0.239994,0.236241,0.203646,0.012060,0.017632,0.013174,0.034971,0.033945,0.033019,0.029242,0.001888,0.006587,0.013218,0.017833,0.005694,0.010786,trainingData/older-happy
0.150546,0.037030,3.007031,0.245797,0.207542,0.727273,0.015612,0.216598,-27.932034,2.549148,0.588760,-0.036972,0.021974,0.044799,0.100014,-0.020359,-0.137994,-0.186924,-0.043824,-0.204740,-0.040980,0.036585,0.000922,0.021303,0.010572,0.032274,0.008821,0.031315,0.000885,0.001384,0.011625,0.045436,0.011931,0.034078,0.152191,0.033018,0.331819,0.135927,0.032486,0.634981,0.016836,0.205360,2.799802,1.045094,0.595851,0.605519,0.436627,0.275250,0.244039,0.310052,0.256153,0.226291,0.258921,0.218540,0.288801,0.037952,0.001333,0.030330,0.022026,0.043434,0.013118,0.043397,0.001523,0.001495,0.014759,0.050931,0.017738,0.018270,trainingData/young-sad
0.084617,0.037948,3.176004,0.175389,0.196543,0.322233,0.026894,0.118005,-26.894631,2.950308,0.428875,0.055366,-0.078500,0.107818,-0.025516,-0.064651,-0.095325,-0.308557,-0.098416,-0.253969,-0.226261,0.037464,0.001376,0.019811,0.008806,0.027883,0.009570,0.015193,0.001411,0.001120,0.012992,0.100592,0.002671,0.046086,0.094590,0.029761,0.206726,0.092254,0.028764,0.331964,0.020555,0.123512,2.419033,0.764286,0.439796,0.493524,0.327976,0.222888,0.231378,0.268031,0.256244,0.234859,0.214545,0.232202,0.302300,0.040910,0.002441,0.025991,0.012206,0.030831,0.012327,0.030414,0.002787,0.001043,0.012889,0.033013,0.004900,0.013499,trainingData/young-sad
0.186327,0.033786,3.084941,0.268943,0.207095,0.977940,0.013912,0.268111,-27.851110,2.291213,0.586459,-0.202005,0.133420,-0.056784,0.043597,-0.077625,-0.078495,-0.264743,-0.100612,-0.194449,0.004946,0.019306,0.008881,0.066675,0.008625,0.019732,0.026942,0.031527,0.000969,0.001560,0.004223,0.018215,0.002284,0.037683,0.152005,0.031547,0.290860,0.130769,0.032998,0.743568,0.014253,0.231335,2.796120,0.872178,0.641543,0.426937,0.329837,0.263681,0.202995,0.266528,0.250638,0.251178,0.264142,0.273755,0.350068,0.027564,0.017936,0.085151,0.016484,0.030608,0.033219,0.058249,0.001824,0.001712,0.005443,0.023970,0.003550,0.026756,trainingData/young-sad
0.074071,0.040982,2.777036,0.157917,0.191757,0.282604,0.023550,0.089590,-27.872384,3.191224,0.406198,0.150004,0.075699,0.108028,0.024823,-0.020364,0.038576,-0.199878,-0.093272,-0.113181,-0.048175,0.022803,0.006444,0.084572,0.010328,0.047090,0.011503,0.063533,0.001234,0.001420,0.010355,0.032203,0.001329,0.046074,0.090757,0.038464,0.528878,0.113592,0.049647,0.363678,0.018061,0.106258,3.391049,1.037910,0.535903,0.519433,0.418059,0.296975,0.298184,0.244224,0.263552,0.268906,0.266852,0.253008,0.233224,0.035045,0.011394,0.050799,0.016415,0.041206,0.019121,0.056102,0.002448,0.001761,0.014629,0.031284,0.001568,0.015456,trainingData/young-sad
0.146749,0.018977,3.046128,0.239994,0.211823,0.792620,0.014637,0.201011,-28.690490,2.328214,0.431291,-0.160459,0.032984,0.004274,0.047152,0.028824,-0.048178,-0.267760,-0.011595,-0.272306,0.005234,0.018584,0.006056,0.061058,0.012844,0.033395,0.010876,0.049345,0.001051,0.001922,0.007282,0.033859,0.002692,0.040852,0.170516,0.019282,0.245022,0.140834,0.026335,0.913277,0.012551,0.255500,2.166905,0.847519,0.586019,0.569982,0.377095,0.302760,0.229136,0.270541,0.280012,0.265608,0.308048,0.228378,0.305422,0.027515,0.010338,0.076338,0.025371,0.039814,0.020316,0.058694,0.002523,0.003577,0.008096,0.032151,0.005890,0.024411,trainingData/young-sad
0.155847,0.024231,3.024277,0.271604,0.241206,0.723795,0.017014,0.280656,-28.992653,2.462329,0.495117,0.036716,0.053751,0.093247,0.049435,-0.091099,-0.089048,-0.284651,0.019541,-0.176772,-0.113914,0.039284,0.000734,0.027210,0.007063,0.018449,0.023972,0.060210,0.000702,0.001469,0.013006,0.043336,0.013369,0.040586,0.112948,0.021896,0.277628,0.096928,0.030931,0.450440,0.017714,0.173761,2.556297,0.849231,0.649138,0.494091,0.400232,0.313546,0.239437,0.321887,0.217296,0.200458,0.181721,0.256152,0.352548,0.046946,0.000662,0.037011,0.013042,0.025041,0.032314,0.058375,0.001673,0.001580,0.013849,0.040209,0.025538,0.019203,trainingData/young-sad
0.099675,0.025910,3.151860,0.191222,0.198337,0.450665,0.018393,0.139663,-27.275371,2.716502,0.160905,0.068091,-0.041005,0.198224,-0.146433,-0.041607,-0.058348,-0.286744,-0.059355,-0.264780,-0.108944,0.047269,0.001293,0.023149,0.011820,0.030262,0.008366,0.020423,0.001302,0.001399,0.014196,0.068067,0.006870,0.042346,0.116549,0.024354,0.208418,0.108539,0.035076,0.529741,0.019926,0.161546,3.006140,1.119985,0.576300,0.592396,0.411625,0.326518,0.256385,0.263011,0.249478,0.259049,0.285114,0.212964,0.269610,0.056862,0.001857,0.035287,0.022421,0.035480,0.013280,0.031710,0.003300,0.001704,0.011939,0.047389,0.010052,0.016667,trainingData/young-sad
0.185437,0.019141,3.100127,0.272006,0.204266,0.921409,0.012307,0.274481,-28.982013,2.208621,0.670170,-0.212957,0.134737,0.056819,0.178941,-0.031555,0.068337,-0.267570,0.015712,-0.224427,0.079468,0.026032,0.002701,0.050072,0.011301,0.033066,0.007222,0.033932,0.000863,0.000752,0.007698,0.024494,0.002855,0.031731,0.183550,0.020508,0.194574,0.151742,0.030990,0.829994,0.010648,0.270341,2.249629,0.989568,0.578453,0.375162,0.334090,0.224039,0.233276,0.234212,0.252472,0.257658,0.258076,0.214752,0.249325,0.035534,0.006257,0.061983,0.017716,0.038067,0.014676,0.034976,0.001626,0.000578,0.010893,0.031243,0.006007,0.020685,trainingData/young-sad
0.084208,0.042239,3.172927,0.163836,0.186263,0.303303,0.016268,0.107951,-27.115099,3.247667,0.596034,0.059943,-0.015759,0.037830,-0.076514,-0.128000,-0.158739,-0.152334,-0.037006,-0.112046,-0.154681,0.036134,0.000521,0.010860,0.007627,0.020907,0.017538,0.012652,0.001014,0.001289,0.011868,0.109973,0.006558,0.046796,0.104792,0.028373,0.199414,0.109861,0.031640,0.390790,0.017163,0.143046,2.768817,0.951467,0.527368,0.388513,0.325907,0.233261,0.224982,0.216215,0.212655,0.185904,0.168540,0.238659,0.261512,0.046325,0.000575,0.016344,0.017202,0.027484,0.023452,0.022437,0.003163,0.001298,0.008017,0.024641,0.013355,0.010870,trainingData/young-sad
0.285027,0.033507,3.085204,0.346302,0.209971,1.035523,0.012828,0.373661,-28.395722,2.564948,0.665824,-0.036706,0.095172,0.059659,-0.023112,-0.088476,-0.071590,-0.269093,-0.127750,-0.167917,0.033108,0.029443,0.002469,0.038321,0.010320,0.026714,0.015520,0.022781,0.001667,0.002052,0.008592,0.022234,0.001950,0.028081,0.168214,0.031881,0.326194,0.130781,0.039785,0.535515,0.011055,0.188275,2.320066,0.882809,0.515270,0.425497,0.367764,0.326936,0.257539,0.268838,0.226381,0.228987,0.248560,0.216125,0.246238,0.034787,0.004300,0.042704,0.015715,0.031590,0.020727,0.036877,0.003470,0.002934,0.012715,0.029148,0.002842,0.015085,trainingData/young-sad
0.103347,0.023997,3.082639,0.203346,0.208616,0.528529,0.013025,0.144362,-28.425100,2.861658,0.479352,0.221256,-0.128061,0.039544,-0.090779,-0.120917,-0.023956,-0.323292,-0.130295,-0.169320,-0.150791,0.046563,0.002195,0.037553,0.015026,0.028888,0.009076,0.032309,0.000968,0.002987,0.008022,0.060765,0.001423,0.040107,0.114932,0.023297,0.307262,0.118604,0.038686,0.630633,0.012195,0.178710,2.966753,0.973952,0.554326,0.462735,0.299121,0.324050,0.242956,0.254395,0.294688,0.231069,0.278642,0.310534,0.248347,0.050457,0.003711,0.035814,0.021175,0.051573,0.018192,0.043443,0.001705,0.006972,0.006978,0.056125,0.002029,0.014546,trainingData/young-sad
0.172797,0.030489,3.131010,0.297272,0.239197,0.918857,0.015619,0.308731,-28.006784,2.297364,0.627233,-0.040490,0.027914,0.097730,0.036985,-0.096602,-0.053881,-0.300196,-0.053695,-0.213248,-0.066530,0.042453,0.001358,0.026089,0.010707,0.027921,0.012986,0.033273,0.001686,0.001293,0.018340,0.039024,0.009485,0.036326,0.160110,0.027362,0.186539,0.126385,0.031641,0.700068,0.018429,0.260212,2.920871,0.925046,0.576861,0.378226,0.342177,0.278896,0.223954,0.295588,0.236666,0.201528,0.271727,0.266639,0.268203,0.054170,0.002092,0.032686,0.016547,0.036689,0.019637,0.040682,0.004843,0.001071,0.020106,0.042372,0.013723,0.016705,trainingData/young-sad
